iter	Passed	Remaining
0	19	19114
1	39	19704
2	61	20465
3	93	23348
4	123	24648
5	156	25881
6	186	26501
7	208	25814
8	234	25817
9	265	26287
10	298	26858
11	327	26998
12	344	26161
13	377	26590
14	409	26870
15	432	26623
16	453	26229
17	470	25656
18	504	26034
19	534	26196
20	551	25699
21	581	25839
22	598	25423
23	626	25496
24	648	25298
25	676	25356
26	708	25525
27	739	25679
28	756	25332
29	787	25468
30	820	25658
31	842	25492
32	867	25417
33	898	25520
34	912	25168
35	929	24882
36	946	24622
37	962	24367
38	992	24452
39	1009	24239
40	1040	24334
41	1063	24248
42	1080	24049
43	1103	23978
44	1135	24107
45	1167	24213
46	1183	24002
47	1199	23799
48	1230	23884
49	1259	23936
50	1282	23857
51	1299	23688
52	1315	23510
53	1332	23341
54	1354	23280
55	1371	23113
56	1402	23208
57	1419	23057
58	1449	23117
59	1467	22989
60	1489	22933
61	1507	22803
62	1528	22740
63	1564	22880
64	1583	22776
65	1600	22643
66	1623	22602
67	1639	22466
68	1671	22546
69	1692	22485
70	1718	22484
71	1734	22350
72	1752	22251
73	1780	22280
74	1797	22166
75	1812	22040
76	1829	21930
77	1859	21979
78	1891	22049
79	1913	22001
80	1938	21994
81	1969	22049
82	2002	22123
83	2019	22018
84	2036	21923
85	2053	21825
86	2069	21722
87	2095	21720
88	2116	21664
89	2134	21584
90	2151	21493
91	2175	21471
92	2199	21446
93	2222	21425
94	2254	21480
95	2271	21391
96	2302	21433
97	2323	21389
98	2344	21337
99	2362	21266
100	2379	21184
101	2396	21101
102	2444	21287
103	2461	21204
104	2491	21238
105	2523	21281
106	2544	21236
107	2563	21169
108	2586	21140
109	2603	21061
110	2633	21090
111	2649	21005
112	2680	21044
113	2712	21083
114	2729	21005
115	2750	20963
116	2770	20906
117	2790	20857
118	2823	20900
119	2854	20933
120	2871	20860
121	2901	20882
122	2918	20806
123	2949	20833
124	2970	20796
125	2989	20737
126	3012	20710
127	3028	20632
128	3058	20649
